"inventory_flow_id","warehouse_id","warehouse_name","warehouse_street_address","warehouse_city","warehouse_state","warehouse_postal_code","warehouse_country","product_id","product_name","sku","movement_type","quantity","unit_of_measure","movement_datetime","source_location_type","source_location_id","destination_location_type","destination_location_id","reference_document_number","movement_reason","handled_by_user_id","comments"
"INVFLW0001","WH001","Central Distribution","100 Main St","Chicago","IL","60601","USA","PRD00001","Electric Drill 500W","EDRILL500W","inbound","900","pieces","2024-05-03T10:23:00Z","supplier","SUP1234","warehouse","WH001","PO-20240503-01","Restocking after sales","USR0012","Received from regular supplier."
"INVFLW0002","WH002","North Hub","2211 North Ave","Minneapolis","MN","55401","USA","PRD00002","Heavy Duty Hammer","HDHAMMER","outbound","150","pieces","2024-05-04T14:55:00Z","warehouse","WH002","customer","CUST9981","SO-20240504-02","Order fulfillment","USR0033","Shipped for online order #A2345."
"INVFLW0003","WH003","East Storage","76 Long Dr","Boston","MA","02118","USA","PRD00003","Safety Gloves Large","SGLOVEL","transfer","2000","boxes","2024-05-02T09:05:00Z","warehouse","WH003","warehouse","WH001","TR-20240502-01","Stock balancing","USR0020","Moved due to high demand in Chicago."
"INVFLW0004","WH004","West Logistics","401 Pine St","Denver","CO","80202","USA","PRD00004","Packing Tape Roll","PTAPE","adjustment","80","pieces","2024-04-28T16:10:00Z","warehouse","WH004","warehouse","WH004","ADJ-20240428-01","Inventory audit adjustment","USR0045","Adjusted after physical count."
"INVFLW0005","WH005","South Depot","5555 South St","Dallas","TX","75201","USA","PRD00005","LED Work Light","LEDWL100","inbound","420","pieces","2024-05-05T11:45:00Z","supplier","SUP3210","warehouse","WH005","PO-20240505-03","New product launch","USR0058","First batch for new SKU."
"INVFLW0006","WH006","Midwest Storage","302 Maple Rd","Kansas City","MO","64106","USA","PRD00006","All-Purpose Cleaner","APCLNR1L","outbound","60","bottles","2024-05-05T13:41:00Z","warehouse","WH006","customer","CUST4552","SO-20240505-04","Retail order","USR0067","Bulk order for store chain."
"INVFLW0007","WH007","Pacific Hub","789 Ocean Pkwy","San Francisco","CA","94107","USA","PRD00007","Industrial Mop Head","IMOPH","transfer","300","pieces","2024-05-01T08:20:00Z","warehouse","WH007","warehouse","WH002","TR-20240501-02","Seasonal demand shift","USR0072","Increase inventory for summer season."
"INVFLW0008","WH008","Atlantic Fulfillment","200 Harbor Dr","Miami","FL","33101","USA","PRD00008","Plastic Storage Bin","PSBIN20L","inbound","1400","pieces","2024-04-30T15:30:00Z","supplier","SUP9843","warehouse","WH008","PO-20240430-05","Restocking storage items","USR0081","Full truck delivery."
"INVFLW0009","WH009","Rocky Mountain Depot","12 Aspen Way","Salt Lake City","UT","84101","USA","PRD00009","Industrial Fan","FANINDL","adjustment","20","units","2024-05-04T17:15:00Z","warehouse","WH009","warehouse","WH009","ADJ-20240504-02","Damaged in transit","USR0094","Removed damaged fans from count."
"INVFLW0010","WH010","Delta Transfer","88 River Rd","Memphis","TN","38103","USA","PRD00010","Portable Tool Case","PTCASE","transfer","90","pieces","2024-05-06T10:10:00Z","warehouse","WH010","warehouse","WH008","TR-20240506-01","Balancing tool inventory","USR0103","Expedited transfer required."
"INVFLW0011","WH001","Central Distribution","100 Main St","Chicago","IL","60601","USA","PRD00011","Safety Goggles","SGOG001","inbound","1200","pieces","2024-05-07T09:30:00Z","supplier","SUP2222","warehouse","WH001","PO-20240507-02","Bulk protective gear","USR0012","Rush shipment received."
"INVFLW0012","WH002","North Hub","2211 North Ave","Minneapolis","MN","55401","USA","PRD00012","Steel Nails 50mm","SNL50MM","outbound","21000","kg","2024-05-08T11:52:00Z","warehouse","WH002","customer","CUST1023","SO-20240508-07","Large construction order","USR0033","Order for city construction project."
"INVFLW0013","WH003","East Storage","76 Long Dr","Boston","MA","02118","USA","PRD00013","Rubber Gasket Set","RGASKETSET","transfer","400","sets","2024-05-03T13:00:00Z","warehouse","WH003","warehouse","WH006","TR-20240503-03","Seasonal increase","USR0020","Moved for Midwest ramp up."
"INVFLW0014","WH004","West Logistics","401 Pine St","Denver","CO","80202","USA","PRD00014","Corrugated Boxes","CBOX100","adjustment","50","boxes","2024-05-09T15:44:00Z","warehouse","WH004","warehouse","WH004","ADJ-20240509-01","Shrinkage found","USR0045","Missing items after audit."
"INVFLW0015","WH005","South Depot","5555 South St","Dallas","TX","75201","USA","PRD00015","Heavy Duty Extension Cord","HDEXTCORD","inbound","700","pieces","2024-05-10T08:40:00Z","supplier","SUP1999","warehouse","WH005","PO-20240510-02","Restocking after sale","USR0058","High demand item restocked."
"INVFLW0016","WH006","Midwest Storage","302 Maple Rd","Kansas City","MO","64106","USA","PRD00016","Stainless Steel Screws","SSSCREW","outbound","5000","kg","2024-05-10T12:22:00Z","warehouse","WH006","customer","CUST3911","SO-20240510-03","Contract order","USR0067","Delivered for manufacturing contract."
"INVFLW0017","WH007","Pacific Hub","789 Ocean Pkwy","San Francisco","CA","94107","USA","PRD00017","Aluminum Ladder","ALAD10FT","transfer","55","pieces","2024-05-09T09:10:00Z","warehouse","WH007","warehouse","WH005","TR-20240509-01","Redistribution","USR0072","Low demand in Pacific Hub."
"INVFLW0018","WH008","Atlantic Fulfillment","200 Harbor Dr","Miami","FL","33101","USA","PRD00018","Work Boots Size 10","WBOOT10","inbound","320","pairs","2024-05-10T14:00:00Z","supplier","SUP5555","warehouse","WH008","PO-20240510-05","Seasonal restocking","USR0081","Annual Q2 restock."
"INVFLW0019","WH009","Rocky Mountain Depot","12 Aspen Way","Salt Lake City","UT","84101","USA","PRD00019","Safety Cone Orange","SCONEORG","adjustment","10","pieces","2024-05-06T18:22:00Z","warehouse","WH009","warehouse","WH009","ADJ-20240506-03","Lost in transit","USR0094","Documented by inbound team."
"INVFLW0020","WH010","Delta Transfer","88 River Rd","Memphis","TN","38103","USA","PRD00020","Hand Saw","HSAW20IN","transfer","130","pieces","2024-05-11T10:50:00Z","warehouse","WH010","warehouse","WH009","TR-20240511-01","Transfer to support new project","USR0103","Requested by SLC operations."
"INVFLW0021","WH001","Central Distribution","100 Main St","Chicago","IL","60601","USA","PRD00021","Cable Ties 8in","CBTIE8IN","inbound","3500","pieces","2024-05-12T07:30:00Z","supplier","SUP1343","warehouse","WH001","PO-20240512-01","Bulk order replenishment","USR0012","Supplier delivered ahead of schedule."
"INVFLW0022","WH002","North Hub","2211 North Ave","Minneapolis","MN","55401","USA","PRD00022","Paint Roller Set","PROLLSET","outbound","240","sets","2024-05-12T13:10:00Z","warehouse","WH002","customer","CUST1245","SO-20240512-05","Online retail order","USR0033","Priority shipment for customer."
"INVFLW0023","WH003","East Storage","76 Long Dr","Boston","MA","02118","USA","PRD00023","Plastic Pallet","PLPALLET","transfer","100","pieces","2024-05-13T09:30:00Z","warehouse","WH003","warehouse","WH002","TR-20240513-01","Support packaging needs","USR0020","Sent for high-volume packaging."
"INVFLW0024","WH004","West Logistics","401 Pine St","Denver","CO","80202","USA","PRD00024","Shrink Wrap Film","SWFILM","adjustment","35","rolls","2024-05-13T17:00:00Z","warehouse","WH004","warehouse","WH004","ADJ-20240513-02","Damaged packaging","USR0045","Damaged during handling."
"INVFLW0025","WH005","South Depot","5555 South St","Dallas","TX","75201","USA","PRD00025","Wire Cutter","WCUTTER","inbound","600","pieces","2024-05-14T10:55:00Z","supplier","SUP3728","warehouse","WH005","PO-20240514-03","Regular scheduled delivery","USR0058","Monthly replenishment."
"INVFLW0026","WH006","Midwest Storage","302 Maple Rd","Kansas City","MO","64106","USA","PRD00026","PVC Pipe 1in","PVCPIPE1","outbound","1800","meters","2024-05-15T12:00:00Z","warehouse","WH006","customer","CUST2133","SO-20240515-01","Order for contractor","USR0067","Construction job supplies."
"INVFLW0027","WH007","Pacific Hub","789 Ocean Pkwy","San Francisco","CA","94107","USA","PRD00027","Disposable Dust Mask","DDMASK","transfer","5000","pieces","2024-05-16T09:20:00Z","warehouse","WH007","warehouse","WH001","TR-20240516-01","High demand in Midwest","USR0072","COVID-19 supply redistribution."
"INVFLW0028","WH008","Atlantic Fulfillment","200 Harbor Dr","Miami","FL","33101","USA","PRD00028","Paint Brush 2in","PB2IN","inbound","800","pieces","2024-05-16T14:41:00Z","supplier","SUP8321","warehouse","WH008","PO-20240516-04","Scheduled supplier order","USR0081","Verified by receiving clerk."
"INVFLW0029","WH009","Rocky Mountain Depot","12 Aspen Way","Salt Lake City","UT","84101","USA","PRD00029","Fire Extinguisher ABC","FEXTABC","adjustment","12","units","2024-05-17T18:12:00Z","warehouse","WH009","warehouse","WH009","ADJ-20240517-01","Expired units replaced","USR0094","Safety compliance."
"INVFLW0030","WH010","Delta Transfer","88 River Rd","Memphis","TN","38103","USA","PRD00030","Multi-Tool Set","MTSET24","transfer","1000","sets","2024-05-18T10:00:00Z","warehouse","WH010","warehouse","WH003","TR-20240518-01","High demand in East","USR0103","Large volume, expedited."
"INVFLW0031","WH001","Central Distribution","100 Main St","Chicago","IL","60601","USA","PRD00031","Work Gloves XL","WGLOVXL","inbound","250","pairs","2024-05-19T11:23:00Z","supplier","SUP4567","warehouse","WH001","PO-20240519-01","Quarterly stock","USR0012","Verified by receiving."
"INVFLW0032","WH002","North Hub","2211 North Ave","Minneapolis","MN","55401","USA","PRD00032","Plastic Sheeting","PSHEET","outbound","4000","meters","2024-05-19T14:44:00Z","warehouse","WH002","customer","CUST6578","SO-20240519-03","Construction supply order","USR0033","Requested by site manager."
"INVFLW0033","WH003","East Storage","76 Long Dr","Boston","MA","02118","USA","PRD00033","Drill Bit Set","DBITSET","transfer","800","sets","2024-05-20T09:00:00Z","warehouse","WH003","warehouse","WH006","TR-20240520-01","Seasonal restocking","USR0020","Increase for summer demand."
"INVFLW0034","WH004","West Logistics","401 Pine St","Denver","CO","80202","USA","PRD00034","Packing Foam","PACKFOAM","adjustment","30","boxes","2024-05-20T17:20:00Z","warehouse","WH004","warehouse","WH004","ADJ-20240520-01","Damaged in warehouse","USR0045","Found during safety check."
"INVFLW0035","WH005","South Depot","5555 South St","Dallas","TX","75201","USA","PRD00035","Cable Reel","CBLREEL","inbound","1000","reels","2024-05-21T10:30:00Z","supplier","SUP3001","warehouse","WH005","PO-20240521-02","Bulk restock","USR0058","Supplier delivery on schedule."
"INVFLW0036","WH006","Midwest Storage","302 Maple Rd","Kansas City","MO","64106","USA","PRD00036","Industrial Tape 2in","ITAPE2IN","outbound","320","rolls","2024-05-21T14:10:00Z","warehouse","WH006","customer","CUST7842","SO-20240521-04","Packing supply order","USR0067","Shipped by morning team."
"INVFLW0037","WH007","Pacific Hub","789 Ocean Pkwy","San Francisco","CA","94107","USA","PRD00037","Flashlight LED","FLLED","transfer","600","pieces","2024-05-22T09:45:00Z","warehouse","WH007","warehouse","WH008","TR-20240522-01","Demand spike in Miami","USR0072","Transferred by night crew."
"INVFLW0038","WH008","Atlantic Fulfillment","200 Harbor Dr","Miami","FL","33101","USA","PRD00038","Screwdriver Set","SDSET","inbound","800","sets","2024-05-23T11:04:00Z","supplier","SUP2020","warehouse","WH008","PO-20240523-01","Scheduled restock","USR0081","Checked by inventory manager."
"INVFLW0039","WH009","Rocky Mountain Depot","12 Aspen Way","Salt Lake City","UT","84101","USA","PRD00039","First Aid Kit","FAKIT","adjustment","8","kits","2024-05-23T19:30:00Z","warehouse","WH009","warehouse","WH009","ADJ-20240523-03","Kit replaced after use","USR0094","Used in emergency response."
"INVFLW0040","WH010","Delta Transfer","88 River Rd","Memphis","TN","38103","USA","PRD00040","Plastic Bucket 10L","PBKT10L","transfer","350","pieces","2024-05-24T10:10:00Z","warehouse","WH010","warehouse","WH005","TR-20240524-01","Support warehouse cleaning","USR0103","Transferred for cleaning drive."
"INVFLW0041","WH001","Central Distribution","100 Main St","Chicago","IL","60601","USA","PRD00041","Dustpan and Brush Set","DPBRUSHSET","inbound","120","sets","2024-05-25T11:15:00Z","supplier","SUP8888","warehouse","WH001","PO-20240525-01","New supplier delivery","USR0012","Supplier performance review."
"INVFLW0042","WH002","North Hub","2211 North Ave","Minneapolis","MN","55401","USA","PRD00042","Cloth Rags Pack","CRAGSPACK","outbound","400","packs","2024-05-25T13:33:00Z","warehouse","WH002","customer","CUST3322","SO-20240525-02","Janitorial supply order","USR0033","Customer requested extra packs."
"INVFLW0043","WH003","East Storage","76 Long Dr","Boston","MA","02118","USA","PRD00043","Plastic Tubing","PTUBE1M","transfer","1250","meters","2024-05-26T08:40:00Z","warehouse","WH003","warehouse","WH008","TR-20240526-01","Support Miami order","USR0020","Transferred for urgent fulfillment."
"INVFLW0044","WH004","West Logistics","401 Pine St","Denver","CO","80202","USA","PRD00044","Bubble Wrap Roll","BWRAPROLL","adjustment","16","rolls","2024-05-26T16:15:00Z","warehouse","WH004","warehouse","WH004","ADJ-20240526-02","Damaged stock removed","USR0045","Damaged during transport."
"INVFLW0045","WH005","South Depot","5555 South St","Dallas","TX","75201","USA","PRD00045","Duct Tape Roll","DTROLL","inbound","350","rolls","2024-05-27T10:30:00Z","supplier","SUP6542","warehouse","WH005","PO-20240527-02","Supplier restock","USR0058","Standard order received."
"INVFLW0046","WH006","Midwest Storage","302 Maple Rd","Kansas City","MO","64106","USA","PRD00046","Heavy Duty Gloves","HDGLOVES","outbound","1500","pairs","2024-05-27T13:00:00Z","warehouse","WH006","customer","CUST9123","SO-20240527-02","Manufacturing order","USR0067","Delivered by truck."
"INVFLW0047","WH007","Pacific Hub","789 Ocean Pkwy","San Francisco","CA","94107","USA","PRD00047","Hand Sanitizer","HSANITIZ","transfer","200","bottles","2024-05-28T09:10:00Z","warehouse","WH007","warehouse","WH001","TR-20240528-01","COVID-19 supply transfer","USR0072","Transferred for urgent use."
"INVFLW0048","WH008","Atlantic Fulfillment","200 Harbor Dr","Miami","FL","33101","USA","PRD00048","Tool Belt","TOOLBELT","inbound","80","pieces","2024-05-28T14:00:00Z","supplier","SUP1111","warehouse","WH008","PO-20240528-02","New product added","USR0081","First shipment of new SKU."
"INVFLW0049","WH009","Rocky Mountain Depot","12 Aspen Way","Salt Lake City","UT","84101","USA","PRD00049","Metal Shelving Unit","MSHELFU","adjustment","5","units","2024-05-29T18:30:00Z","warehouse","WH009","warehouse","WH009","ADJ-20240529-01","Lost in handling","USR0094","Warehouse audit loss."
"INVFLW0050","WH010","Delta Transfer","88 River Rd","Memphis","TN","38103","USA","PRD00050","Plastic Crates Large","PCRTLG","transfer","250","pieces","2024-05-30T09:15:00Z","warehouse","WH010","warehouse","WH005","TR-20240530-01","Support new inbound batch","USR0103","Transferred for inbound preparation."
"IFLOW00021","WH002","Southport Central","44 Harbor Dr","Savannah","GA","31401","USA","PRD00121","Double Wall Cardboard Box","BX-DBL-001","inbound","500","pieces","2024-03-07T09:31:00","supplier","SUP-5544","warehouse","WH002","PO-65400121","Restocking from supplier","USR2003","Boxes arrived from supplier, checked for quality."
"IFLOW00022","WH007","Redwood Distribution","1203 Redwood Rd","Portland","OR","97230","USA","PRD00145","Industrial Safety Gloves","GL-IND-045","transfer","1200","pieces","2024-02-16T14:23:00","warehouse","WH007","warehouse","WH011","TRF-20240216-011","Inter-warehouse transfer for north region","USR2091","Transferred gloves for upcoming northern site audit."
"IFLOW00023","WH003","Midwest Hub","18 Riverside Ave","St. Louis","MO","63101","USA","PRD00098","Aluminum Pallet Rack","PR-AL-098","outbound","10","pieces","2024-05-04T13:10:00","warehouse","WH003","customer","CUST-7083","SO-20240504-98","Customer order fulfillment","USR2055","Racks shipped to customer order SO-20240504-98."
"IFLOW00024","WH009","Blue Ridge Storage","105 Mountain View Rd","Asheville","NC","28801","USA","PRD00048","Bubble Wrap Rolls","BW-ROLL-048","adjustment","50","rolls","2024-04-30T10:55:00","warehouse","WH009","warehouse","WH009","INVADJ-0048","Inventory adjustment after damage","USR2018","Damaged rolls removed from inventory count."
"IFLOW00025","WH004","Eastgate Logistics","340 Gate Blvd","Charlotte","NC","28202","USA","PRD00176","Thermal Tape","TT-TH-176","inbound","2500","rolls","2024-03-14T11:05:00","supplier","SUP-1128","warehouse","WH004","PO-112800176","Restocking for spring orders","USR2008","Received thermal tape shipment, batch checked."
"IFLOW00026","WH011","Northfield Depot","208 Maple St","Minneapolis","MN","55401","USA","PRD00024","Heavy Duty Straps","ST-HD-024","outbound","400","pieces","2024-05-09T16:45:00","warehouse","WH011","customer","CUST-9231","SO-20240509-024","Order fulfillment for industrial client","USR2072","Outbound straps for large customer order."
"IFLOW00027","WH005","Pacific Coast Warehouse","900 Pacific Hwy","San Diego","CA","92101","USA","PRD00103","Heat Shrink Film","HS-FLM-103","transfer","3000","kg","2024-01-21T08:30:00","warehouse","WH005","warehouse","WH014","TRF-20240121-014","Bulk transfer for seasonal demand","USR2020","Film transferred to WH014 for spring peak."
"IFLOW00028","WH010","Golden State Storage","55 Citrus Ave","Fresno","CA","93722","USA","PRD00078","Plastic Pallets","PL-PLT-078","adjustment","25","pieces","2024-04-08T12:10:00","warehouse","WH010","warehouse","WH010","INVADJ-0078","Audit adjustment","USR2049","Inventory reconciled after quarterly audit."
"IFLOW00029","WH008","Sunrise Hub","712 Sunrise Cir","Phoenix","AZ","85001","USA","PRD00112","Packing Foam Sheets","PF-SH-112","inbound","10000","pieces","2024-02-28T07:50:00","supplier","SUP-8890","warehouse","WH008","PO-88900112","Bulk restocking","USR2006","Foam sheets checked in and stored in aisle 7."
"IFLOW00030","WH006","Riverbend Warehouse","431 Riverbend Ln","Little Rock","AR","72201","USA","PRD00187","Stretch Wrap","SW-WRP-187","outbound","250","rolls","2024-05-10T15:31:00","warehouse","WH006","customer","CUST-5912","SO-20240510-187","Order fulfillment - packaging supplies","USR2028","Stretch wrap order for Phoenix customer."
"IFLOW00031","WH012","Metro East Distribution","77 Metro Blvd","Kansas City","MO","64108","USA","PRD00134","Steel Banding","SB-STEEL-134","transfer","5000","kg","2024-03-01T10:12:00","warehouse","WH012","warehouse","WH005","TRF-20240301-005","Transfer for Midwest hub","USR2011","Steel banding moved for upcoming construction."
"IFLOW00032","WH002","Southport Central","44 Harbor Dr","Savannah","GA","31401","USA","PRD00109","Wooden Pallets","WP-PLT-109","inbound","1400","pieces","2024-03-19T09:44:00","supplier","SUP-6724","warehouse","WH002","PO-67240109","Restocking for summer contracts","USR2003","Shipment confirmed and logged."
"IFLOW00033","WH009","Blue Ridge Storage","105 Mountain View Rd","Asheville","NC","28801","USA","PRD00118","Packing Tape","PT-PAK-118","outbound","600","rolls","2024-05-01T11:20:00","warehouse","WH009","customer","CUST-1108","SO-20240501-118","Order fulfillment - retail customer","USR2018","Packing tape shipped, tracking sent."
"IFLOW00034","WH013","Grand Prairie Storage","390 Prairie Rd","Dallas","TX","75201","USA","PRD00032","Recycled Paper Rolls","RP-ROLL-032","transfer","7000","rolls","2024-03-28T09:17:00","warehouse","WH013","warehouse","WH008","TRF-20240328-008","Paper roll transfer for packaging","USR2120","Transferred for expanding packing operations."
"IFLOW00035","WH006","Riverbend Warehouse","431 Riverbend Ln","Little Rock","AR","72201","USA","PRD00141","Shipping Labels","SL-LBL-141","inbound","3200","pieces","2024-02-09T09:22:00","supplier","SUP-1201","warehouse","WH006","PO-120100141","Restock shipping labels","USR2028","Labels counted and stored, batch complete."
"IFLOW00036","WH012","Metro East Distribution","77 Metro Blvd","Kansas City","MO","64108","USA","PRD00116","Plastic Crates","PC-CRT-116","adjustment","40","pieces","2024-04-05T11:38:00","warehouse","WH012","warehouse","WH012","INVADJ-0116","Adjustment after shrinkage","USR2011","Crate count reduced after shrinkage report."
